Name,Mean,Range,SumList,Sd,Area_m2,Area_km2
28Seabird_Winter_OffshoreVastragotlandHavNollBf__TotalSkydd.tif,0.0,0.0,0.0,0.0,1240250000,1240,3
37Anoxia_BackgroundBlekinge__TotalSkydd.tif,0.06070304284183013,0.11999999731779099,231.39999931305647,0.019489118612159167,238250000,238,3
37Anoxia_BackgroundBottniskaVikenHavNollBf__TotalSkydd.tif,0.006318912569327911,0.03999999910593033,33.009999262169,0.01233051017300861,326500000,326,5
37Anoxia_BackgroundEgentligaOstersjonHavNollBf__TotalSkydd.tif,0.12232603910589764,0.8000000230967999,19956.27001973614,0.08208795199726081,10196250000,10196,3
37Anoxia_BackgroundGavleborgsHavNollBf__TotalSkydd.tif,0.05001361150051148,0.20000000298023224,110.2299997471273,0.029151253291420248,137750000,137,8
37Anoxia_BackgroundGOTLANDSHavNollBf__TotalSkydd.tif,0.1621044117129412,0.6700000166893005,2704.550005018711,0.10568842050161041,1042750000,1042,8
37Anoxia_BackgroundHALLANDSHavNollBf__TotalSkydd.tif,0.09485793653760194,0.25999999046325684,444.03000093251467,0.05180653219118045,292562500,292,6
37Anoxia_BackgroundKALMARHavNollBf__TotalSkydd.tif,0.0883801677646308,0.28999999165534973,547.2499987985939,0.059614674151738774,387000000,387,0
37Anoxia_BackgroundNORRBOTTENSHavNollBf__TotalSkydd.tif,0.017622790873657625,0.10000000149011612,235.36999490857124,0.01421876337743382,834750000,834,8
37Anoxia_BackgroundOstergotlandsHavNollBf__TotalSkydd.tif,0.21816286190061202,0.44999998807907104,1213.6400007531047,0.10421814239937513,347687500,347,7
37Anoxia_BackgroundSkaneNorrNollBf__TotalSkydd.tif,0.1649571836339425,0.3799999952316284,3467.3999999854714,0.06754017833650974,1313750000,1313,8
37Anoxia_BackgroundSkaneSoder__TotalSkydd.tif,0.07062362162145713,0.23000000417232513,1280.8300017267466,0.034435578338993585,1133500000,1133,5
37Anoxia_BackgroundSTOCKHOLMSHavNollBf__TotalSkydd.tif,0.1717724298882842,0.5099999904632568,3597.429999150336,0.08224682744327787,1308937500,1308,9
